Price,District,City,Town,,,,,,,,,,
780000,Vila Real,Valpaços,Carrazedo de Montenegro e Curros,,,,,,,,,,
223000,Faro,São Brás de Alportel,São Brás de Alportel,,,,,,,,,,
228000,Faro,São Brás de Alportel,São Brás de Alportel,,,,,,,,,,
250000,Faro,São Brás de Alportel,São Brás de Alportel,,,,,,,,,,
250000,Faro,São Brás de Alportel,São Brás de Alportel,,,,,,,,,,
250000,Faro,São Brás de Alportel,São Brás de Alportel,,,,,,,,,,
2950000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
165000,Faro,Castro Marim,Altura,,,,,,,,,,
9500,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
158000,Faro,Portimão,Portimão,,,,,,,,,,
250000,Faro,Loulé,São Clemente,,,,,,,,,,
580000,Faro,Vila do Bispo,Budens,,,,,,,,,,
615000,Faro,Loulé,São Clemente,,,,,,,,,,
75000,Faro,Olhão,Moncarapacho e Fuseta,,,,,,,,,,
350000,Faro,Portimão,Portimão,,,,,,,,,,
175000,Faro,Faro,Faro (Sé e São Pedro),,,,,,,,,,
17000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
620000,Faro,Lagos,São Gonçalo de Lagos,,,,,,,,,,
595000,Faro,Lagos,São Gonçalo de Lagos,,,,,,,,,,
600000,Faro,Lagos,São Gonçalo de Lagos,,,,,,,,,,
435000,Faro,Loulé,São Clemente,,,,,,,,,,
615000,Faro,Lagos,São Gonçalo de Lagos,,,,,,,,,,
159900,Faro,Portimão,Portimão,,,,,,,,,,
605000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
1485000,Faro,Loulé,Quarteira,,,,,,,,,,
320000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
185000,Faro,Loulé,Quarteira,,,,,,,,,,
340000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
195000,Faro,Vila do Bispo,Vila do Bispo e Raposeira,,,,,,,,,,
1500000,Faro,Faro,Faro (Sé e São Pedro),,,,,,,,,,
195000,Faro,Loulé,Quarteira,,,,,,,,,,
185000,Faro,Portimão,Portimão,,,,,,,,,,
125000,Faro,Portimão,Portimão,,,,,,,,,,
25000,Faro,Portimão,Portimão,,,,,,,,,,
18500000,Faro,Faro,Faro (Sé e São Pedro),,,,,,,,,,
360000,Faro,Loulé,Quarteira,,,,,,,,,,
260000,Faro,Lagos,São Gonçalo de Lagos,,,,,,,,,,
340000,Faro,Olhão,Olhão,,,,,,,,,,
235000,Faro,Faro,Faro (Sé e São Pedro),,,,,,,,,,
335000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
320000,Leiria,Peniche,Peniche,,,,,,,,,,
96500,Faro,Vila Real de Santo António,Vila Nova de Cacela,,,,,,,,,,
325000,Faro,Vila Real de Santo António,Vila Nova de Cacela,,,,,,,,,,
210000,Faro,Faro,Conceição e Estoi,,,,,,,,,,
595000,Faro,Lagos,São Gonçalo de Lagos,,,,,,,,,,
585000,Faro,Lagos,São Gonçalo de Lagos,,,,,,,,,,
565000,Faro,Lagos,São Gonçalo de Lagos,,,,,,,,,,
495000,Faro,Loulé,Quarteira,,,,,,,,,,
100000,Faro,Alcoutim,Alcoutim e Pereiro,,,,,,,,,,
420000,Faro,Portimão,Alvor,,,,,,,,,,
1700000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
469000,Faro,Loulé,São Clemente,,,,,,,,,,
320000,Faro,Loulé,São Sebastião,,,,,,,,,,
330000,Faro,Loulé,São Sebastião,,,,,,,,,,
340000,Faro,Loulé,São Sebastião,,,,,,,,,,
139000,Faro,Loulé,Boliqueime,,,,,,,,,,
279900,Faro,Faro,Faro (Sé e São Pedro),,,,,,,,,,
205000,Faro,Portimão,Portimão,,,,,,,,,,
147000,Faro,Vila Real de Santo António,Vila Real de Santo António,,,,,,,,,,
150000,Faro,Faro,Faro (Sé e São Pedro),,,,,,,,,,
19000,Faro,Lagoa (Algarve),Estômbar e Parchal,,,,,,,,,,
8000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
272000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
291000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
1290000,Faro,Faro,Montenegro,,,,,,,,,,
230000,Faro,Lagos,São Gonçalo de Lagos,,,,,,,,,,
330000,Faro,Loulé,Quarteira,,,,,,,,,,
95000,Faro,Loulé,Boliqueime,,,,,,,,,,
