MunicipalityCode,Municipality,Region
0101,ÁGUEDA,REGIÃO DE AVEIRO
0102,ALBERGARIA-A-VELHA,REGIÃO DE AVEIRO
0103,ANADIA,REGIÃO DE AVEIRO
0104,AROUCA,ÁREA METROPOLITANA DO PORTO
0105,AVEIRO,REGIÃO DE AVEIRO
0106,CASTELO DE PAIVA,TÂMEGA E SOUSA
0107,ESPINHO,ÁREA METROPOLITANA DO PORTO
0108,ESTARREJA,REGIÃO DE AVEIRO
0109,SANTA MARIA DA FEIRA,ÁREA METROPOLITANA DO PORTO
0110,ÍLHAVO,REGIÃO DE AVEIRO
0111,MEALHADA,REGIÃO DE COIMBRA
0112,MURTOSA,REGIÃO DE AVEIRO
0113,OLIVEIRA DE AZEMÉIS,ÁREA METROPOLITANA DO PORTO
0114,OLIVEIRA DO BAIRRO,REGIÃO DE AVEIRO
0115,OVAR,REGIÃO DE AVEIRO
0116,SÃO JOÃO DA MADEIRA,ÁREA METROPOLITANA DO PORTO
0117,SEVER DO VOUGA,REGIÃO DE AVEIRO
0118,VAGOS,REGIÃO DE AVEIRO
0119,VALE DE CAMBRA,ÁREA METROPOLITANA DO PORTO
0201,ALJUSTREL,BAIXO ALENTEJO
0202,ALMODÔVAR,BAIXO ALENTEJO
0203,ALVITO,BAIXO ALENTEJO
0204,BARRANCOS,BAIXO ALENTEJO
0205,BEJA,BAIXO ALENTEJO
0206,CASTRO VERDE,BAIXO ALENTEJO
0207,CUBA,BAIXO ALENTEJO
0208,FERREIRA DO ALENTEJO,BAIXO ALENTEJO
0209,MÉRTOLA,BAIXO ALENTEJO
0210,MOURA,BAIXO ALENTEJO
0211,ODEMIRA,ALENTEJO LITORAL
0212,OURIQUE,BAIXO ALENTEJO
0213,SERPA,BAIXO ALENTEJO
0214,VIDIGUEIRA,BAIXO ALENTEJO
0301,AMARES,CÁVADO
0302,BARCELOS,CÁVADO
0303,BRAGA,CÁVADO
0304,CABECEIRAS DE BASTO,AVE
0305,CELORICO DE BASTO,TÂMEGA E SOUSA
0306,ESPOSENDE,CÁVADO
0307,FAFE,AVE
0308,GUIMARÃES,AVE
0309,PÓVOA DE LANHOSO,AVE
0310,TERRAS DE BOURO,CÁVADO
0311,VIEIRA DO MINHO,AVE
0312,VILA NOVA DE FAMALICÃO,AVE
0313,VILA VERDE,CÁVADO
0314,VIZELA,AVE
0401,ALFÂNDEGA DA FÉ,TERRAS DE TRÁS-OS-MONTES
0402,BRAGANÇA,TERRAS DE TRÁS-OS-MONTES
0403,CARRAZEDA DE ANSIÃES,DOURO
0404,FREIXO DE ESPADA À CINTA,DOURO
0405,MACEDO DE CAVALEIROS,TERRAS DE TRÁS-OS-MONTES
0406,MIRANDA DO DOURO,TERRAS DE TRÁS-OS-MONTES
0407,MIRANDELA,TERRAS DE TRÁS-OS-MONTES
0408,MOGADOURO,TERRAS DE TRÁS-OS-MONTES
0409,TORRE DE MONCORVO,DOURO
0410,VILA FLOR,TERRAS DE TRÁS-OS-MONTES
0411,VIMIOSO,TERRAS DE TRÁS-OS-MONTES
0412,VINHAIS,TERRAS DE TRÁS-OS-MONTES
0501,BELMONTE,BEIRAS E SERRA DA ESTRELA
0502,CASTELO BRANCO,BEIRA BAIXA
0503,COVILHÃ,BEIRAS E SERRA DA ESTRELA
0504,FUNDÃO,BEIRAS E SERRA DA ESTRELA
0505,IDANHA-A-NOVA,BEIRA BAIXA
0506,OLEIROS,BEIRA BAIXA
0507,PENAMACOR,BEIRA BAIXA
0508,PROENÇA-A-NOVA,BEIRA BAIXA
0509,SERTÃ,MÉDIO TEJO
0510,VILA DE REI,MÉDIO TEJO
0511,VILA VELHA DE RÓDÃO,BEIRA BAIXA
0601,ARGANIL,REGIÃO DE COIMBRA
0602,CANTANHEDE,REGIÃO DE COIMBRA
0603,COIMBRA,REGIÃO DE COIMBRA
0604,CONDEIXA-A-NOVA,REGIÃO DE COIMBRA
0605,FIGUEIRA DA FOZ,REGIÃO DE COIMBRA
0606,GÓIS,REGIÃO DE COIMBRA
0607,LOUSÃ,REGIÃO DE COIMBRA
0608,MIRA,REGIÃO DE COIMBRA
0609,MIRANDA DO CORVO,REGIÃO DE COIMBRA
0610,MONTEMOR-O-VELHO,REGIÃO DE COIMBRA
