MunicipalityCode,Municipality,Municipality_norm,Region,Region_norm
0101,ÁGUEDA,agueda,REGIÃO DE AVEIRO,regiao de aveiro
0102,ALBERGARIA-A-VELHA,albergaria-a-velha,REGIÃO DE AVEIRO,regiao de aveiro
0103,ANADIA,anadia,REGIÃO DE AVEIRO,regiao de aveiro
0104,AROUCA,arouca,ÁREA METROPOLITANA DO PORTO,area metropolitana do porto
0105,AVEIRO,aveiro,REGIÃO DE AVEIRO,regiao de aveiro
0106,CASTELO DE PAIVA,castelo de paiva,TÂMEGA E SOUSA,tamega e sousa
0107,ESPINHO,espinho,ÁREA METROPOLITANA DO PORTO,area metropolitana do porto
0108,ESTARREJA,estarreja,REGIÃO DE AVEIRO,regiao de aveiro
0109,SANTA MARIA DA FEIRA,santa maria da feira,ÁREA METROPOLITANA DO PORTO,area metropolitana do porto
0110,ÍLHAVO,ilhavo,REGIÃO DE AVEIRO,regiao de aveiro
0111,MEALHADA,mealhada,REGIÃO DE COIMBRA,regiao de coimbra
0112,MURTOSA,murtosa,REGIÃO DE AVEIRO,regiao de aveiro
0113,OLIVEIRA DE AZEMÉIS,oliveira de azemeis,ÁREA METROPOLITANA DO PORTO,area metropolitana do porto
0114,OLIVEIRA DO BAIRRO,oliveira do bairro,REGIÃO DE AVEIRO,regiao de aveiro
0115,OVAR,ovar,REGIÃO DE AVEIRO,regiao de aveiro
0116,SÃO JOÃO DA MADEIRA,sao joao da madeira,ÁREA METROPOLITANA DO PORTO,area metropolitana do porto
0117,SEVER DO VOUGA,sever do vouga,REGIÃO DE AVEIRO,regiao de aveiro
0118,VAGOS,vagos,REGIÃO DE AVEIRO,regiao de aveiro
0119,VALE DE CAMBRA,vale de cambra,ÁREA METROPOLITANA DO PORTO,area metropolitana do porto
0201,ALJUSTREL,aljustrel,BAIXO ALENTEJO,baixo alentejo
0202,ALMODÔVAR,almodovar,BAIXO ALENTEJO,baixo alentejo
0203,ALVITO,alvito,BAIXO ALENTEJO,baixo alentejo
0204,BARRANCOS,barrancos,BAIXO ALENTEJO,baixo alentejo
0205,BEJA,beja,BAIXO ALENTEJO,baixo alentejo
0206,CASTRO VERDE,castro verde,BAIXO ALENTEJO,baixo alentejo
0207,CUBA,cuba,BAIXO ALENTEJO,baixo alentejo
0208,FERREIRA DO ALENTEJO,ferreira do alentejo,BAIXO ALENTEJO,baixo alentejo
0209,MÉRTOLA,mertola,BAIXO ALENTEJO,baixo alentejo
0210,MOURA,moura,BAIXO ALENTEJO,baixo alentejo
0211,ODEMIRA,odemira,ALENTEJO LITORAL,alentejo litoral
0212,OURIQUE,ourique,BAIXO ALENTEJO,baixo alentejo
0213,SERPA,serpa,BAIXO ALENTEJO,baixo alentejo
0214,VIDIGUEIRA,vidigueira,BAIXO ALENTEJO,baixo alentejo
0301,AMARES,amares,CÁVADO,cavado
0302,BARCELOS,barcelos,CÁVADO,cavado
0303,BRAGA,braga,CÁVADO,cavado
0304,CABECEIRAS DE BASTO,cabeceiras de basto,AVE,ave
0305,CELORICO DE BASTO,celorico de basto,TÂMEGA E SOUSA,tamega e sousa
0306,ESPOSENDE,esposende,CÁVADO,cavado
0307,FAFE,fafe,AVE,ave
0308,GUIMARÃES,guimaraes,AVE,ave
0309,PÓVOA DE LANHOSO,povoa de lanhoso,AVE,ave
0310,TERRAS DE BOURO,terras de bouro,CÁVADO,cavado
0311,VIEIRA DO MINHO,vieira do minho,AVE,ave
0312,VILA NOVA DE FAMALICÃO,vila nova de famalicao,AVE,ave
0313,VILA VERDE,vila verde,CÁVADO,cavado
0314,VIZELA,vizela,AVE,ave
0401,ALFÂNDEGA DA FÉ,alfandega da fe,TERRAS DE TRÁS-OS-MONTES,terras de tras-os-montes
0402,BRAGANÇA,braganca,TERRAS DE TRÁS-OS-MONTES,terras de tras-os-montes
0403,CARRAZEDA DE ANSIÃES,carrazeda de ansiaes,DOURO,douro
