MunicipalityCode,Municipality,Municipality_norm,DensityAlojMean
0101,ÁGUEDA,agueda,95.71666666666665
0102,ALBERGARIA-A-VELHA,albergaria-a-velha,73.81428571428572
0103,ANADIA,anadia,83.33636363636364
0104,AROUCA,arouca,48.758823529411764
0105,AVEIRO,aveiro,292.8545454545455
0106,CASTELO DE PAIVA,castelo de paiva,106.07142857142857
0107,ESPINHO,espinho,1164.16
0108,ESTARREJA,estarreja,119.09999999999998
0109,SANTA MARIA DA FEIRA,santa maria da feira,372.97272727272724
0110,ÍLHAVO,ilhavo,313.2
0111,MEALHADA,mealhada,95.74285714285715
0112,MURTOSA,murtosa,161.98
0113,OLIVEIRA DE AZEMÉIS,oliveira de azemeis,203.7076923076923
0114,OLIVEIRA DO BAIRRO,oliveira do bairro,131.92000000000002
0115,OVAR,ovar,248.71666666666667
0116,SÃO JOÃO DA MADEIRA,sao joao da madeira,1336.1
0117,SEVER DO VOUGA,sever do vouga,60.9375
0118,VAGOS,vagos,79.38888888888889
0119,VALE DE CAMBRA,vale de cambra,93.175
0201,ALJUSTREL,aljustrel,13.3
0202,ALMODÔVAR,almodovar,8.428571428571429
0203,ALVITO,alvito,6.633333333333333
0204,BARRANCOS,barrancos,7.6
0205,BEJA,beja,41.29230769230769
0206,CASTRO VERDE,castro verde,7.94
0207,CUBA,cuba,16.36
0208,FERREIRA DO ALENTEJO,ferreira do alentejo,7.58
0209,MÉRTOLA,mertola,8.0625
0210,MOURA,moura,10.516666666666666
0211,ODEMIRA,odemira,15.064285714285713
0212,OURIQUE,ourique,6.779999999999999
0213,SERPA,serpa,9.75
0214,VIDIGUEIRA,vidigueira,21.6
0301,AMARES,amares,134.68235294117648
0302,BARCELOS,barcelos,159.05161290322582
0303,BRAGA,braga,616.478947368421
0304,CABECEIRAS DE BASTO,cabeceiras de basto,49.0923076923077
0305,CELORICO DE BASTO,celorico de basto,58.71875
0306,ESPOSENDE,esposende,195.2
0307,FAFE,fafe,159.6846153846154
0308,GUIMARÃES,guimaraes,391.6408163265306
0309,PÓVOA DE LANHOSO,povoa de lanhoso,102.57391304347826
0310,TERRAS DE BOURO,terras de bouro,38.26
0311,VIEIRA DO MINHO,vieira do minho,47.04117647058824
0312,VILA NOVA DE FAMALICÃO,vila nova de famalicao,325.6142857142857
0313,VILA VERDE,vila verde,131.91176470588235
0314,VIZELA,vizela,363.95
0401,ALFÂNDEGA DA FÉ,alfandega da fe,11.807692307692308
0402,BRAGANÇA,braganca,22.95
0403,CARRAZEDA DE ANSIÃES,carrazeda de ansiaes,23.313333333333333
0404,FREIXO DE ESPADA À CINTA,freixo de espada a cinta,12.059999999999999
0405,MACEDO DE CAVALEIROS,macedo de cavaleiros,22.161290322580644
0406,MIRANDA DO DOURO,miranda do douro,11.614285714285714
0407,MIRANDELA,mirandela,20.783870967741933
0408,MOGADOURO,mogadouro,8.386363636363637
0409,TORRE DE MONCORVO,torre de moncorvo,15.214285714285714
0410,VILA FLOR,vila flor,19.4
0411,VIMIOSO,vimioso,11.018181818181818
0412,VINHAIS,vinhais,10.962962962962964
0501,BELMONTE,belmonte,38.98
0502,CASTELO BRANCO,castelo branco,28.04
0503,COVILHÃ,covilha,75.32727272727273
0504,FUNDÃO,fundao,33.1
0505,IDANHA-A-NOVA,idanha-a-nova,11.792857142857143
0506,OLEIROS,oleiros,10.372727272727273
0507,PENAMACOR,penamacor,30.139999999999997
0508,PROENÇA-A-NOVA,proenca-a-nova,16.240000000000002
0509,SERTÃ,serta,28.236363636363638
0510,VILA DE REI,vila de rei,15.75
0511,VILA VELHA DE RÓDÃO,vila velha de rodao,10.66
0601,ARGANIL,arganil,33.373333333333335
0602,CANTANHEDE,cantanhede,54.25333333333333
0603,COIMBRA,coimbra,283.3157894736842
0604,CONDEIXA-A-NOVA,condeixa-a-nova,56.3625
0605,FIGUEIRA DA FOZ,figueira da foz,185.66
0606,GÓIS,gois,22.18
0607,LOUSÃ,lousa,66.02000000000001
0608,MIRA,mira,74.64
0609,MIRANDA DO CORVO,miranda do corvo,51.52
0610,MONTEMOR-O-VELHO,montemor-o-velho,65.43333333333334
0611,OLIVEIRA DO HOSPITAL,oliveira do hospital,65.11176470588236
0612,PAMPILHOSA DA SERRA,pampilhosa da serra,15.188888888888888
0613,PENACOVA,penacova,37.87777777777777
0614,PENELA,penela,30.2
0615,SOURE,soure,54.48181818181818
0616,TÁBUA,tabua,41.96666666666667
0617,VILA NOVA DE POIARES,vila nova de poiares,46.8
0701,ALANDROAL,alandroal,8.68
0702,ARRAIOLOS,arraiolos,7.183333333333334
0703,BORBA,borba,563.88
0704,ESTREMOZ,estremoz,20.04
0705,ÉVORA,evora,326.80000000000007
0706,MONTEMOR-O-NOVO,montemor-o-novo,7.5
0707,MORA,mora,10.3
0708,MOURÃO,mourao,6.55
0709,PORTEL,portel,7.514285714285714
0710,REDONDO,redondo,13.433333333333332
0711,REGUENGOS DE MONSARAZ,reguengos de monsaraz,15.36
0712,VENDAS NOVAS,vendas novas,24.26666666666667
0713,VIANA DO ALENTEJO,viana do alentejo,11.45
0714,VILA VIÇOSA,vila vicosa,32.7
