MunicipalityCode,Municipality,Municipality_norm,DensityPopMean
0101,ÁGUEDA,agueda,140.8
0102,ALBERGARIA-A-VELHA,albergaria-a-velha,162.3
0103,ANADIA,anadia,130.2
0104,AROUCA,arouca,63.6
0105,AVEIRO,aveiro,435.5
0106,CASTELO DE PAIVA,castelo de paiva,134.3
0107,ESPINHO,espinho,1538.1
0108,ESTARREJA,estarreja,250.5
0109,SANTA MARIA DA FEIRA,santa maria da feira,647.8
0110,ÍLHAVO,ilhavo,573.3
0111,MEALHADA,mealhada,178.8
0112,MURTOSA,murtosa,151.0
0113,OLIVEIRA DE AZEMÉIS,oliveira de azemeis,417.6
0114,OLIVEIRA DO BAIRRO,oliveira do bairro,286.9
0115,OVAR,ovar,384.1
0116,SÃO JOÃO DA MADEIRA,sao joao da madeira,3005.4
0117,SEVER DO VOUGA,sever do vouga,84.3
0118,VAGOS,vagos,148.3
0119,VALE DE CAMBRA,vale de cambra,144.2
0201,ALJUSTREL,aljustrel,19.5
0202,ALMODÔVAR,almodovar,8.6
0203,ALVITO,alvito,8.6
0204,BARRANCOS,barrancos,8.5
0205,BEJA,beja,29.5
0206,CASTRO VERDE,castro verde,12.2
0207,CUBA,cuba,26.0
0208,FERREIRA DO ALENTEJO,ferreira do alentejo,12.2
0209,MÉRTOLA,mertola,4.7
0210,MOURA,moura,13.9
0211,ODEMIRA,odemira,19.3
0212,OURIQUE,ourique,7.3
0213,SERPA,serpa,12.4
0214,VIDIGUEIRA,vidigueira,16.5
0301,AMARES,amares,238.9
0302,BARCELOS,barcelos,308.8
0303,BRAGA,braga,1099.1
0304,CABECEIRAS DE BASTO,cabeceiras de basto,64.3
0305,CELORICO DE BASTO,celorico de basto,97.5
0306,ESPOSENDE,esposende,389.2
0307,FAFE,fafe,221.4
0308,GUIMARÃES,guimaraes,650.6
0309,PÓVOA DE LANHOSO,povoa de lanhoso,167.9
0310,TERRAS DE BOURO,terras de bouro,23.0
0311,VIEIRA DO MINHO,vieira do minho,55.7
0312,VILA NOVA DE FAMALICÃO,vila nova de famalicao,674.6
0313,VILA VERDE,vila verde,210.6
0314,VIZELA,vizela,993.1
0401,ALFÂNDEGA DA FÉ,alfandega da fe,13.1
0402,BRAGANÇA,braganca,30.2
0403,CARRAZEDA DE ANSIÃES,carrazeda de ansiaes,19.3
0404,FREIXO DE ESPADA À CINTA,freixo de espada a cinta,12.9
0405,MACEDO DE CAVALEIROS,macedo de cavaleiros,20.4
0406,MIRANDA DO DOURO,miranda do douro,12.9
0407,MIRANDELA,mirandela,32.5
0408,MOGADOURO,mogadouro,10.8
0409,TORRE DE MONCORVO,torre de moncorvo,12.7
