MunicipalityCode,RentValueMean,Municipality,Municipality_norm
0101,5.09,ÁGUEDA,agueda
0102,5.0,ALBERGARIA-A-VELHA,albergaria-a-velha
0103,4.51,ANADIA,anadia
0104,4.59,AROUCA,arouca
0105,7.61,AVEIRO,aveiro
0106,3.62,CASTELO DE PAIVA,castelo de paiva
0107,6.92,ESPINHO,espinho
0108,4.81,ESTARREJA,estarreja
0109,5.08,SANTA MARIA DA FEIRA,santa maria da feira
0110,6.8,ÍLHAVO,ilhavo
0111,4.25,MEALHADA,mealhada
0112,5.12,MURTOSA,murtosa
0113,4.35,OLIVEIRA DE AZEMÉIS,oliveira de azemeis
0114,4.77,OLIVEIRA DO BAIRRO,oliveira do bairro
0115,5.76,OVAR,ovar
0116,5.26,SÃO JOÃO DA MADEIRA,sao joao da madeira
0117,3.37,SEVER DO VOUGA,sever do vouga
0118,5.21,VAGOS,vagos
0119,5.0,VALE DE CAMBRA,vale de cambra
0201,7.055,ALJUSTREL,aljustrel
0202,,ALMODÔVAR,almodovar
0203,,ALVITO,alvito
0204,,BARRANCOS,barrancos
0205,5.69,BEJA,beja
0206,5.0,CASTRO VERDE,castro verde
0207,,CUBA,cuba
0208,3.91,FERREIRA DO ALENTEJO,ferreira do alentejo
0209,,MÉRTOLA,mertola
0210,4.06,MOURA,moura
0211,5.12,ODEMIRA,odemira
0212,,OURIQUE,ourique
0213,,SERPA,serpa
0214,,VIDIGUEIRA,vidigueira
0301,4.13,AMARES,amares
0302,4.76,BARCELOS,barcelos
0303,10.190000000000001,BRAGA,braga
0304,3.1,CABECEIRAS DE BASTO,cabeceiras de basto
0305,3.38,CELORICO DE BASTO,celorico de basto
0306,6.75,ESPOSENDE,esposende
0307,3.62,FAFE,fafe
0308,4.95,GUIMARÃES,guimaraes
0309,3.81,PÓVOA DE LANHOSO,povoa de lanhoso
0310,,TERRAS DE BOURO,terras de bouro
0311,3.91,VIEIRA DO MINHO,vieira do minho
0312,7.935,VILA NOVA DE FAMALICÃO,vila nova de famalicao
0313,5.92,VILA VERDE,vila verde
0314,7.1850000000000005,VIZELA,vizela
0401,,ALFÂNDEGA DA FÉ,alfandega da fe
0402,3.19,BRAGANÇA,braganca
0403,,CARRAZEDA DE ANSIÃES,carrazeda de ansiaes
0404,,FREIXO DE ESPADA À CINTA,freixo de espada a cinta
0405,2.94,MACEDO DE CAVALEIROS,macedo de cavaleiros
0406,,MIRANDA DO DOURO,miranda do douro
0407,5.325,MIRANDELA,mirandela
0408,5.21,MOGADOURO,mogadouro
0409,9.56,TORRE DE MONCORVO,torre de moncorvo
0410,5.215,VILA FLOR,vila flor
0411,,VIMIOSO,vimioso
0412,7.74,VINHAIS,vinhais
0501,6.66,BELMONTE,belmonte
0502,4.0,CASTELO BRANCO,castelo branco
0503,4.43,COVILHÃ,covilha
0504,4.14,FUNDÃO,fundao
0505,,IDANHA-A-NOVA,idanha-a-nova
0506,11.32,OLEIROS,oleiros
0507,15.19,PENAMACOR,penamacor
0508,16.32,PROENÇA-A-NOVA,proenca-a-nova
0509,3.93,SERTÃ,serta
0510,,VILA DE REI,vila de rei
0511,,VILA VELHA DE RÓDÃO,vila velha de rodao
0601,8.1475,ARGANIL,arganil
0602,9.280000000000001,CANTANHEDE,cantanhede
0603,7.44,COIMBRA,coimbra
0604,5.27,CONDEIXA-A-NOVA,condeixa-a-nova
0605,6.61,FIGUEIRA DA FOZ,figueira da foz
0606,,GÓIS,gois
0607,8.72,LOUSÃ,lousa
0608,8.715,MIRA,mira
0609,6.0600000000000005,MIRANDA DO CORVO,miranda do corvo
0610,10.155,MONTEMOR-O-VELHO,montemor-o-velho
0611,8.98,OLIVEIRA DO HOSPITAL,oliveira do hospital
0612,,PAMPILHOSA DA SERRA,pampilhosa da serra
0613,3.52,PENACOVA,penacova
0614,,PENELA,penela
0615,3.8,SOURE,soure
0616,3.4,TÁBUA,tabua
0617,5.529999999999999,VILA NOVA DE POIARES,vila nova de poiares
0701,,ALANDROAL,alandroal
0702,6.6499999999999995,ARRAIOLOS,arraiolos
0703,2.77,BORBA,borba
0704,3.5499999999999994,ESTREMOZ,estremoz
0705,5.989999999999999,ÉVORA,evora
0706,5.365,MONTEMOR-O-NOVO,montemor-o-novo
0707,9.32,MORA,mora
0708,5.92,MOURÃO,mourao
