DICO,NUTSI_DSG,NUTSI_COD,NUTSII_DSG,NUTSII_COD,NUTSIII_DSG,NUTSIII_COD,DISTRITO_ILHA_DSG,CONCELHO_DSG,nutsi_norm,nutsii_norm,nutsiii_norm,municipality_norm,region_norm,district_norm,MunicipalityCode,location_context,block_key,avg_rent_m2,avg_str_density,population_density,avg_price,count_listings,price_per_listing
101,CONTINENTE,1,CENTRO,16,REGIÃO DE AVEIRO,16D,AVEIRO,ÁGUEDA,continente,centro,regiao de aveiro,agueda,regiao de aveiro,aveiro,0101,agueda aveiro,ague,5.09,95.71666666666665,140.8,175253.04632152588,367.0,477.5287365709152
102,CONTINENTE,1,CENTRO,16,REGIÃO DE AVEIRO,16D,AVEIRO,ALBERGARIA-A-VELHA,continente,centro,regiao de aveiro,albergaria-a-velha,regiao de aveiro,aveiro,0102,albergaria-a-velha aveiro,albe,5.0,73.81428571428572,162.3,187757.5706214689,177.0,1060.7772351495419
103,CONTINENTE,1,CENTRO,16,REGIÃO DE AVEIRO,16D,AVEIRO,ANADIA,continente,centro,regiao de aveiro,anadia,regiao de aveiro,aveiro,0103,anadia aveiro,anad,4.51,83.33636363636364,130.2,168769.92091836734,392.0,430.53551254685544
104,CONTINENTE,1,NORTE,11,ÁREA METROPOLITANA DO PORTO,11A,AVEIRO,AROUCA,continente,norte,area metropolitana do porto,arouca,area metropolitana do porto,aveiro,0104,arouca aveiro,arou,4.59,48.758823529411764,63.6,226243.75,80.0,2828.046875
105,CONTINENTE,1,CENTRO,16,REGIÃO DE AVEIRO,16D,AVEIRO,AVEIRO,continente,centro,regiao de aveiro,aveiro,regiao de aveiro,aveiro,0105,aveiro aveiro,avei,7.61,292.8545454545455,435.5,316395.5130687319,1033.0,306.2880087790241
106,CONTINENTE,1,NORTE,11,TÂMEGA E SOUSA,11C,AVEIRO,CASTELO DE PAIVA,continente,norte,tamega e sousa,castelo de paiva,tamega e sousa,aveiro,0106,castelo de paiva aveiro,cast,3.62,106.07142857142857,134.3,183610.83333333334,120.0,1530.0902777777778
107,CONTINENTE,1,NORTE,11,ÁREA METROPOLITANA DO PORTO,11A,AVEIRO,ESPINHO,continente,norte,area metropolitana do porto,espinho,area metropolitana do porto,aveiro,0107,espinho aveiro,espi,6.92,1164.16,1538.1,278671.05263157893,361.0,771.9419740486951
108,CONTINENTE,1,CENTRO,16,REGIÃO DE AVEIRO,16D,AVEIRO,ESTARREJA,continente,centro,regiao de aveiro,estarreja,regiao de aveiro,aveiro,0108,estarreja aveiro,esta,4.81,119.09999999999998,250.5,198725.81699346405,153.0,1298.8615489768893
109,CONTINENTE,1,NORTE,11,ÁREA METROPOLITANA DO PORTO,11A,AVEIRO,SANTA MARIA DA FEIRA,continente,norte,area metropolitana do porto,santa maria da feira,area metropolitana do porto,aveiro,0109,santa maria da feira aveiro,sant,5.08,372.97272727272724,647.8,250645.83726415093,848.0,295.5729213020648
110,CONTINENTE,1,CENTRO,16,REGIÃO DE AVEIRO,16D,AVEIRO,ÍLHAVO,continente,centro,regiao de aveiro,ilhavo,regiao de aveiro,aveiro,0110,ilhavo aveiro,ilha,6.8,313.2,573.3,266178.4946236559,372.0,715.5335876979998
